source,target
7MNP6nVHIDvPCRvfCeAJpF,4axKuDPr6WKcDCyh8vueTY
2R21vXR83lH98kGeO99Y66,12vb80Km0Ew53ABfJOepVz
1TA5sGRlKUJXBN4ZyJuDIX,2R21vXR83lH98kGeO99Y66
64aJYyrXljOodnUG6jvhRD,2T1aUibqR2QC2sINIDQOAK
1r3tpVQ08jFAA2P4xzV5o4,47MpMsUfWtgyIIBEFOr4FE
6nVcHLIgY5pE2YCl8ubca1,7j6DKwmjbxvpQO8h914uEz
2R21vXR83lH98kGeO99Y66,1Cs0zKBU1kc0i8ypK3B9ai
6TKygPpVT29oGUogu4J9Ec,3i6lAgVHplDXb6zrjIeBeK
37230BxxYs9ksS7OkZw3IU,6nVcHLIgY5pE2YCl8ubca1
1fux65HMCBvfJHqlBc4Nno,4s6Xg38sbqh4xpf4OqhVUK
2R21vXR83lH98kGeO99Y66,46SHBwWsqBkxI7EeeBEQG7
46SHBwWsqBkxI7EeeBEQG7,12vb80Km0Ew53ABfJOepVz
2R21vXR83lH98kGeO99Y66,52iwsT98xCoGgiGntTiR7K
2cPqdH7XMvwaBJEVjheH8g,2R21vXR83lH98kGeO99Y66
2cPqdH7XMvwaBJEVjheH8g,2YRyPiW98bpkARAS4B3OQP
4IMAo2UQchVFyPH24PAjUs,3EiLUeyEcA6fbRPSHkG5kb
4VMYDCV2IEDYJArk749S6m,1vyhD5VmyZ7KMfW5gqLgo5
3EiLUeyEcA6fbRPSHkG5kb,4ncaw2cfA3Wlly1tBD2eWt
4s6Xg38sbqh4xpf4OqhVUK,6nVcHLIgY5pE2YCl8ubca1
37230BxxYs9ksS7OkZw3IU,2R21vXR83lH98kGeO99Y66
2R21vXR83lH98kGeO99Y66,1rTUwYS38LkQTlT2fhikch
2cPqdH7XMvwaBJEVjheH8g,4CQdcx66F116k2db2Y0rjE
1TA5sGRlKUJXBN4ZyJuDIX,4cYbf45YbZptNISnhay0xH
2R21vXR83lH98kGeO99Y66,12lHTAdc9T204lw5qPtasv
3i6lAgVHplDXb6zrjIeBeK,2v2UIkZpgupzvSNS9wicgV
3S9Hg7sRKhmtWunFZ2yAYP,0ys2OFYzWYB5hRDLCsBqxt
0VRj0yCOv2FXJNP47XQnx5,64aJYyrXljOodnUG6jvhRD
1r3tpVQ08jFAA2P4xzV5o4,2R21vXR83lH98kGeO99Y66
1TA5sGRlKUJXBN4ZyJuDIX,7GQDI5Vmxs92RsIRZzYT11
2R21vXR83lH98kGeO99Y66,6w9ToX5slZ4uIdmD17hJ3c
2R21vXR83lH98kGeO99Y66,4r63FhuTkUYltbVAg5TQnk
4axKuDPr6WKcDCyh8vueTY,3i6lAgVHplDXb6zrjIeBeK
2KtMll7bpqySnZhr8wriRE,4axKuDPr6WKcDCyh8vueTY
2R21vXR83lH98kGeO99Y66,1vyhD5VmyZ7KMfW5gqLgo5
2R21vXR83lH98kGeO99Y66,4q3ewBCX7sLwd24euuV69X
6TKygPpVT29oGUogu4J9Ec,4cYbf45YbZptNISnhay0xH
1fux65HMCBvfJHqlBc4Nno,4axKuDPr6WKcDCyh8vueTY
5kCv5opFav2P7nPl8FiEQx,2R21vXR83lH98kGeO99Y66
21451j1KhjAiaYKflxBjr1,2R21vXR83lH98kGeO99Y66
0VRj0yCOv2FXJNP47XQnx5,2T1aUibqR2QC2sINIDQOAK
4axKuDPr6WKcDCyh8vueTY,2R21vXR83lH98kGeO99Y66
17SY5q1CMOZJBRuPcKWwPI,2R21vXR83lH98kGeO99Y66
3S9Hg7sRKhmtWunFZ2yAYP,2R21vXR83lH98kGeO99Y66
1TA5sGRlKUJXBN4ZyJuDIX,4UhDECNxyqKv0Cn0sua1MC
17SY5q1CMOZJBRuPcKWwPI,1TA5sGRlKUJXBN4ZyJuDIX
2R21vXR83lH98kGeO99Y66,4ncaw2cfA3Wlly1tBD2eWt
2R21vXR83lH98kGeO99Y66,4exLIFE8sISLr28sqG1qNX
2R21vXR83lH98kGeO99Y66,3hcs9uc56yIGFCSy9leWe7
1WMwuNKzEFtU6pPkdtryYS,0eHQ9o50hj6ZDNBt6Ys1sD
0elWFr7TW8piilVRYJUe4P,2R21vXR83lH98kGeO99Y66
4CQdcx66F116k2db2Y0rjE,2YRyPiW98bpkARAS4B3OQP
2R21vXR83lH98kGeO99Y66,2v2UIkZpgupzvSNS9wicgV
1i8SpTcr7yvPOmcqrbnVXY,1vyhD5VmyZ7KMfW5gqLgo5
1TA5sGRlKUJXBN4ZyJuDIX,6LGGOg5XbaaB5cBo7HR61a
00XhexlJEXQstHimpZN910,2R21vXR83lH98kGeO99Y66
0ys2OFYzWYB5hRDLCsBqxt,1rTUwYS38LkQTlT2fhikch
3l9G1G9MxH6DaRhwLklaf5,2R21vXR83lH98kGeO99Y66
37230BxxYs9ksS7OkZw3IU,7j6DKwmjbxvpQO8h914uEz
1TA5sGRlKUJXBN4ZyJuDIX,4axKuDPr6WKcDCyh8vueTY
4s6Xg38sbqh4xpf4OqhVUK,7GQDI5Vmxs92RsIRZzYT11
4aSlfXDn9R60UlbZEboBUy,4axKuDPr6WKcDCyh8vueTY
3E12tRURRvPfHz0hAMCFYc,2R21vXR83lH98kGeO99Y66
64aJYyrXljOodnUG6jvhRD,12vb80Km0Ew53ABfJOepVz
4Tw0VaV1ENei24iQnktjXj,2qbEtwBVyobgpNP5KcHE9J
329e4yvIujISKGKz1BZZbO,2qbEtwBVyobgpNP5KcHE9J
4SsVbpTthjScTS7U2hmr1X,5rlwbF5flU2JCmAzV5Obu0
1mcTU81TzQhprhouKaTkpq,7qYeIN2r4H1kBvr0Gm9Iav
4SsVbpTthjScTS7U2hmr1X,1DxLCyH42yaHKGK3cl5bvG
1GKIlPFdcewHtpDVCQ8zmJ,7cYik4OyfBXYV5Z2TI7p90
4SsVbpTthjScTS7U2hmr1X,716NhGYqD1jl2wI1Qkgq36
4ixNZvQuuzCDxBsxO9zE6L,2O8vbr4RYPpk6MRA4fio7u
7j6DKwmjbxvpQO8h914uEz,4SsVbpTthjScTS7U2hmr1X
1c22GXH30ijlOfXhfLz9Df,4SsVbpTthjScTS7U2hmr1X
4SsVbpTthjScTS7U2hmr1X,7lCRuW6BSXGAsxuQV9lR0i
64aJYyrXljOodnUG6jvhRD,21451j1KhjAiaYKflxBjr1
12GqGscKJx3aE4t07u7eVZ,4SsVbpTthjScTS7U2hmr1X
12vb80Km0Ew53ABfJOepVz,6NyPX5jymkvSPaJhCh1crb
4SsVbpTthjScTS7U2hmr1X,6TKygPpVT29oGUogu4J9Ec
4SsVbpTthjScTS7U2hmr1X,1wZtkThiXbVNtj6hee6dz9
64aJYyrXljOodnUG6jvhRD,3E6xrwgnVfYCrCs0ePERDz
4SsVbpTthjScTS7U2hmr1X,6AMa1VFQ7qCi61tCRtVWXe
29fkrV8IuMETQBv8PgC6Lw,4IMAo2UQchVFyPH24PAjUs
4VVEpEhC8NcR7AqNEds42U,3E6xrwgnVfYCrCs0ePERDz
4SsVbpTthjScTS7U2hmr1X,6nVcHLIgY5pE2YCl8ubca1
329e4yvIujISKGKz1BZZbO,12vb80Km0Ew53ABfJOepVz
4SsVbpTthjScTS7U2hmr1X,1fux65HMCBvfJHqlBc4Nno
0KPX4Ucy9dk82uj4GpKesn,1uy3w1dRiwRTYHiOOzZ5EE
3EiLUeyEcA6fbRPSHkG5kb,1uy3w1dRiwRTYHiOOzZ5EE
00me4Ke1LsvMxt5kydlMyU,3EiLUeyEcA6fbRPSHkG5kb
4SsVbpTthjScTS7U2hmr1X,7iK8PXO48WeuP03g8YR51W
08yYd8o1CrOjIpGHP2I6zU,3hfWiirwdO1ijoZQwj7uzZ
4Tw0VaV1ENei24iQnktjXj,5sZKwZcGSzyVnO1P62PdCq
4SsVbpTthjScTS7U2hmr1X,00me4Ke1LsvMxt5kydlMyU
329e4yvIujISKGKz1BZZbO,5sZKwZcGSzyVnO1P62PdCq
4SsVbpTthjScTS7U2hmr1X,3i6lAgVHplDXb6zrjIeBeK
4SsVbpTthjScTS7U2hmr1X,6NyPX5jymkvSPaJhCh1crb
64aJYyrXljOodnUG6jvhRD,2qbEtwBVyobgpNP5KcHE9J
4SsVbpTthjScTS7U2hmr1X,4aSlfXDn9R60UlbZEboBUy
2QUvtLq6oQaX0LNsYY2fas,1GKIlPFdcewHtpDVCQ8zmJ
4SsVbpTthjScTS7U2hmr1X,0eHQ9o50hj6ZDNBt6Ys1sD
4SsVbpTthjScTS7U2hmr1X,2YRyPiW98bpkARAS4B3OQP
7cYik4OyfBXYV5Z2TI7p90,3NpG6SsHaQETkdQVZH6V1E
6JkIfzAcnjeyUx6aQh3Pbi,3Z4dagwEl134FhOVlYvjt5
4SsVbpTthjScTS7U2hmr1X,1r4hJ1h58CWwUQe3MxPuau
38epWdyauFwdRkldqUMfWE,39FKVjqhZLz4E1iG77d5AO
4SsVbpTthjScTS7U2hmr1X,2jku7tDXc6XoB6MO2hFuqg
38epWdyauFwdRkldqUMfWE,6K33IlAAM2crUmPtnc4j6H
64aJYyrXljOodnUG6jvhRD,1vyhD5VmyZ7KMfW5gqLgo5
4SsVbpTthjScTS7U2hmr1X,2oQX8QiMXOyuqbcZEFsZfm
4SsVbpTthjScTS7U2hmr1X,5XJDexmWFLWOkjOEjOVX3e
4SsVbpTthjScTS7U2hmr1X,1WMwuNKzEFtU6pPkdtryYS
2cPqdH7XMvwaBJEVjheH8g,1pf0MPKfKdvS8J779mS1Ay
7cYik4OyfBXYV5Z2TI7p90,2p4aN0Uxkk3iT3HK0cJ2cJ
4SsVbpTthjScTS7U2hmr1X,4Tw0VaV1ENei24iQnktjXj
4SsVbpTthjScTS7U2hmr1X,2RON3ZWvFVAHpiJA74KNHj
29fkrV8IuMETQBv8PgC6Lw,0F0qHLgO0rPrxKUjv19N7z
1bAftSH8umNcGZ0uyV7LMg,716NhGYqD1jl2wI1Qkgq36
77ziqFxp5gaInVrF2lj4ht,3fZk3Gm5dN5v5yfYMQ04Bx
64aJYyrXljOodnUG6jvhRD,7BOLXRhKCofrP6ESS7Owuo
4SsVbpTthjScTS7U2hmr1X,3NpG6SsHaQETkdQVZH6V1E
12vb80Km0Ew53ABfJOepVz,3EiLUeyEcA6fbRPSHkG5kb
4SsVbpTthjScTS7U2hmr1X,38epWdyauFwdRkldqUMfWE
64aJYyrXljOodnUG6jvhRD,5sZKwZcGSzyVnO1P62PdCq
4SsVbpTthjScTS7U2hmr1X,1uy3w1dRiwRTYHiOOzZ5EE
4SsVbpTthjScTS7U2hmr1X,7qYeIN2r4H1kBvr0Gm9Iav
4SsVbpTthjScTS7U2hmr1X,4C3ZmIqca9MWwThLaYbfXu
4SsVbpTthjScTS7U2hmr1X,0odliLZMTk45CEVzF3Zocl
4SsVbpTthjScTS7U2hmr1X,3hfWiirwdO1ijoZQwj7uzZ
4SsVbpTthjScTS7U2hmr1X,3GPTvhZ8XfH7WkHXidvELk
4SsVbpTthjScTS7U2hmr1X,33ScadVnbm2X8kkUqOkC6Z
4SsVbpTthjScTS7U2hmr1X,00XhexlJEXQstHimpZN910
4SsVbpTthjScTS7U2hmr1X,64aJYyrXljOodnUG6jvhRD
64aJYyrXljOodnUG6jvhRD,5lFhCi03HDneWzvCxGctrT
64aJYyrXljOodnUG6jvhRD,5rlwbF5flU2JCmAzV5Obu0
4SsVbpTthjScTS7U2hmr1X,2p4aN0Uxkk3iT3HK0cJ2cJ
4SsVbpTthjScTS7U2hmr1X,3qsKSpcV3ncke3hw52JSMB
4SsVbpTthjScTS7U2hmr1X,3EiLUeyEcA6fbRPSHkG5kb
4SsVbpTthjScTS7U2hmr1X,4VMYDCV2IEDYJArk749S6m
4SsVbpTthjScTS7U2hmr1X,08yYd8o1CrOjIpGHP2I6zU
1GKIlPFdcewHtpDVCQ8zmJ,3NpG6SsHaQETkdQVZH6V1E
4SsVbpTthjScTS7U2hmr1X,4IMAo2UQchVFyPH24PAjUs
4SsVbpTthjScTS7U2hmr1X,1TtXnWcUs0FCkaZDPGYHdf
5sZKwZcGSzyVnO1P62PdCq,16yTBMwXmeW9MQgfcHZgA7
4SsVbpTthjScTS7U2hmr1X,1i8SpTcr7yvPOmcqrbnVXY
3EiLUeyEcA6fbRPSHkG5kb,7qYeIN2r4H1kBvr0Gm9Iav
3EiLUeyEcA6fbRPSHkG5kb,4C3ZmIqca9MWwThLaYbfXu
4SsVbpTthjScTS7U2hmr1X,2cPqdH7XMvwaBJEVjheH8g
4SsVbpTthjScTS7U2hmr1X,2QUvtLq6oQaX0LNsYY2fas
4SsVbpTthjScTS7U2hmr1X,39FKVjqhZLz4E1iG77d5AO
1GKIlPFdcewHtpDVCQ8zmJ,2p4aN0Uxkk3iT3HK0cJ2cJ
4SsVbpTthjScTS7U2hmr1X,4QrBoWLm2WNlPdbFhmlaUZ
4SsVbpTthjScTS7U2hmr1X,3fZk3Gm5dN5v5yfYMQ04Bx
4SsVbpTthjScTS7U2hmr1X,6K33IlAAM2crUmPtnc4j6H
00me4Ke1LsvMxt5kydlMyU,12vb80Km0Ew53ABfJOepVz
6nVcHLIgY5pE2YCl8ubca1,1TtXnWcUs0FCkaZDPGYHdf
4SsVbpTthjScTS7U2hmr1X,7a0XAaPaK2aDSqa8p3QnC7
3E6xrwgnVfYCrCs0ePERDz,4SsVbpTthjScTS7U2hmr1X
1y8spb5Thg0p5ybNtdk4tu,4SsVbpTthjScTS7U2hmr1X
3EiLUeyEcA6fbRPSHkG5kb,4IMAo2UQchVFyPH24PAjUs
1SupJlEpv7RS2tPNRaHViT,0tmwSHipWxN12fsoLcFU3B
5sZKwZcGSzyVnO1P62PdCq,2qbEtwBVyobgpNP5KcHE9J
64aJYyrXljOodnUG6jvhRD,00me4Ke1LsvMxt5kydlMyU
4SsVbpTthjScTS7U2hmr1X,1SupJlEpv7RS2tPNRaHViT
65jIUih0ZeTUJhSTRuYxpi,4QrBoWLm2WNlPdbFhmlaUZ
5hdhHgpxyniooUiQVaPxQ0,1fux65HMCBvfJHqlBc4Nno
4SsVbpTthjScTS7U2hmr1X,02uL9GicfGlL4E427NFGDm
7qYeIN2r4H1kBvr0Gm9Iav,00me4Ke1LsvMxt5kydlMyU
64aJYyrXljOodnUG6jvhRD,6XFITTl7cFTdopDY3lUdlY
4SsVbpTthjScTS7U2hmr1X,1dKdetem2xEmjgvyymzytS
77ziqFxp5gaInVrF2lj4ht,5lwmRuXgjX8xIwlnauTZIP
00me4Ke1LsvMxt5kydlMyU,3qcl8ck0RTpenPbFmZa2p5
4SsVbpTthjScTS7U2hmr1X,16yTBMwXmeW9MQgfcHZgA7
4aSlfXDn9R60UlbZEboBUy,4SsVbpTthjScTS7U2hmr1X
4SsVbpTthjScTS7U2hmr1X,3E6xrwgnVfYCrCs0ePERDz
4SsVbpTthjScTS7U2hmr1X,329e4yvIujISKGKz1BZZbO
2A3uvEbM1K4QWaviVVH5LQ,1NV0aHpx1XWBilmEFTPOSz
4SsVbpTthjScTS7U2hmr1X,2LRoIwlKmHjgvigdNGBHNo
6AMa1VFQ7qCi61tCRtVWXe,39FKVjqhZLz4E1iG77d5AO
4SsVbpTthjScTS7U2hmr1X,77ziqFxp5gaInVrF2lj4ht
2cPqdH7XMvwaBJEVjheH8g,4SsVbpTthjScTS7U2hmr1X
6AMa1VFQ7qCi61tCRtVWXe,6K33IlAAM2crUmPtnc4j6H
4SsVbpTthjScTS7U2hmr1X,0TC8XvQTSQMh4beW43FsAH
4SsVbpTthjScTS7U2hmr1X,4dhKkIzf9LXogFL1NXfQc1
4SsVbpTthjScTS7U2hmr1X,4o0NtnL2m0lzZmEdRas1qv
4SsVbpTthjScTS7U2hmr1X,2qbEtwBVyobgpNP5KcHE9J
5sZKwZcGSzyVnO1P62PdCq,12vb80Km0Ew53ABfJOepVz
1pQWsZQehhS4wavwh7Fnxd,3Wb38LDP3N4tkobValgE9D
4SsVbpTthjScTS7U2hmr1X,1pgDilWYDWLoOgGjf1iHNu
00XhexlJEXQstHimpZN910,7lCRuW6BSXGAsxuQV9lR0i
4SsVbpTthjScTS7U2hmr1X,14zUHaJZo1mnYtn6IBRaRP
4VVEpEhC8NcR7AqNEds42U,4SsVbpTthjScTS7U2hmr1X
4SsVbpTthjScTS7U2hmr1X,6xLvSuN3p2uD8IorXxYmHg
6JkIfzAcnjeyUx6aQh3Pbi,4SsVbpTthjScTS7U2hmr1X
5XJDexmWFLWOkjOEjOVX3e,3EiLUeyEcA6fbRPSHkG5kb
2p4aN0Uxkk3iT3HK0cJ2cJ,3NpG6SsHaQETkdQVZH6V1E
4SsVbpTthjScTS7U2hmr1X,4DYFVNKZ1uixa6SQTvzQwJ
4SsVbpTthjScTS7U2hmr1X,3Wb38LDP3N4tkobValgE9D
4SsVbpTthjScTS7U2hmr1X,1pQWsZQehhS4wavwh7Fnxd
3EiLUeyEcA6fbRPSHkG5kb,0F0qHLgO0rPrxKUjv19N7z
3qcl8ck0RTpenPbFmZa2p5,3EiLUeyEcA6fbRPSHkG5kb
3EiLUeyEcA6fbRPSHkG5kb,0KPX4Ucy9dk82uj4GpKesn
4SsVbpTthjScTS7U2hmr1X,5wUO3A6DT4tO5UDz21kE2Y
1pgDilWYDWLoOgGjf1iHNu,21451j1KhjAiaYKflxBjr1
64aJYyrXljOodnUG6jvhRD,0odliLZMTk45CEVzF3Zocl
4SsVbpTthjScTS7U2hmr1X,4CksTDKT5UHEUxHEEu6sBH
5H1nN1SzW0qNeUEZvuXjAj,4SsVbpTthjScTS7U2hmr1X
4DYFVNKZ1uixa6SQTvzQwJ,3GPTvhZ8XfH7WkHXidvELk
